id,create_stamp,modify_stamp,version,exercises_dept,exercises_number,name,nature,organization_command,purpose,region,start_time,subjects
512155821680328704,2020/11/14 06:44:23.283000000,2020/11/14 06:44:23.315000000,6,第7舰队、第3陆战远征部队、第11航空队等，参演兵力在1万人以上。2016年各型舰艇13艘、飞机，80余架及官兵1.8万人参加，继续保持较大规模。,11,美军英勇盾牌,诸军兵种合成实兵演习。,美太总部主持，太平洋舰队司令部具体实施。,重点演练美军在亚太实施大规模军事干预的相关作战预案。以关岛模拟台岛，着眼应对我对台作战。近年来更强调针对“反介入”威胁开展演练。,关岛及其周边海空域。,"演习始于2006年，迄今共举行11次（2006,2007,2010,2012,2014）",反舰、反潜、防空、反导、对地攻击、空中格斗、海上渗透、海上补给、海上拦截、机降登陆、侦察监视、联合搜救、太空战、网络战、电子战等。
512155821827129344,2020/11/14 06:44:23.318000000,2020/11/14 06:44:23.336000000,5,太总部及其军种组成司令部、驻日和驻韩美军司令部、第519联合特遣部队司令部、参联会、战略司令部、运输司令部、国防情报局、国家安全局、国家侦察局等;美国务院、商务部、能源部、运输部和中央情报局等派员参加。,,美军终极愤怒,美太总部级别最高的例行性年度指挥所演习。,太总部主持，第519联合特遣部队司令部具体组织实施。,以演练和完善干预台海冲突的“5077作战计划”为主，同时兼顾太总部的其他应急作战计划，检验太总部和第519联合特遣部队司令部应急作战指挥能力。,,演习始于2002年,指挥控制、情报监视与侦察、反导、网络战、非战斗人员撤运等。
512155821915209728,2020/11/14 06:44:23.339000000,2020/11/14 06:44:23.357000000,6,美军主要有太总部各军种组成司令部、驻韩美军司令部、第8集团军、第7舰队、第7航空队、第3陆战远征部队等。2017年，美军参演兵力约1.5万，韩军29万。出动“卡尔·文森”号航母、“哥伦布”号核潜艇、B-1B战略轰炸机、F-35B隐形战斗机等武器平台，运用“4D作战概念”演练对朝射导实施反制，模拟演练利用“萨德”系统探测击落朝弹道导弹，出动特种部队3000余人参演，规模为历史最大。,25,美韩主要联合军演：关键决心/鹦鹰,美韩年度战区级计算机模拟指挥所(“关键决心”部分)带部分实兵演习(“鹦鹰”部分)。,美韩军参联会共同协调，美太总部主持，美韩联合部队司令部具体组织实施。,检验和完善美韩相关对朝作战计划，熟悉对朝作战程序，提升美韩两军联合作战能力。,韩境内及周边海域。,"演习始于1994年，原名“阿尔索伊/鹦鹰”，2008年改为现用名。通常每年3,4月举行。",“关键决心”部分主要包括威慑接敌、应对局部挑衅、防御作战、反攻并夺取主导权、脱北居民管制等。“鹦鹰”部分包括空中、海上、地面和两栖登陆演练(即“双龙”两栖登陆演习)四部分，演练美军增援半岛和美韩“由守转攻”，具体科目包括防空反导、制空作战、对地攻击、反潜反舰、机动攻防、特种作战、两栖登陆等。
512155822003290112,2020/11/14 06:44:23.360000000,2020/11/14 06:44:23.379000000,6,美军主要有太总部及其军种组成司令部、驻日和驻韩美军司令部、第8集团军、第7舰队、第3陆战远征部队、第7航空队等。2017年主要参演兵力包括5万名韩军和1.75万名美军。澳大利亚、加拿大、哥伦比亚、丹麦、新西兰、荷兰、英国等联合国军司令部七国也派员参观本次演习，规模呈现逐年缩减趋势。,11,美韩主要联合军演：乙支/自由卫士,“乙支”部分是韩政府单独组织的年度例行性国家危机处置演习;“自由卫士”部分是美韩年度计算机模拟指挥所带部分实兵演习。,美韩军参联会共同协调，美太总部主持，美韩联合部队司令部具体组织实施。,演练美韩朝鲜半岛“5015”作战计划，完善美韩联合部队司令部及所属各级司令部的作战指挥程序，提高美韩部队联合指挥与作战能力.检验韩政府战时体制转换和战争动员程序、危机处置能力和后方防御能力。,韩境内及周边海域。,"演习始于1976年，原名“乙支/焦点透镜”，2008年改为现用名。一般每年8,9月在韩境内举行。",反导、地面攻防、空中作战、海上作战、特种作战、两栖作战、核生化防御、非战斗人员撤运和战时民防工作等。2017年大幅提升攻击性实战科目，包括“斩首行动”、先发制人打击朝鲜核设施和拦截朝鲜导弹等。
512155822091370496,2020/11/14 06:44:23.381000000,2020/11/14 06:44:23.398000000,6,美第7舰队部分舰艇;韩海军作战司令部、美韩联合部队司令部组织，反特种作战等。第2舰队及空军部分飞机,10,美韩海上反特种作战演习,美韩海军季度性演习。,最初由美军主导，2006年后改为韩军主导。韩海军第1、2舰队司令部指挥。,检验和提高美韩联合海上反特种作战能力。,韩东、西部海域。,演习起始时间：,防空、反潜、水雷战、电子战、海上拦截、
512155822175256576,2020/11/14 06:44:23.401000000,2020/11/14 06:44:23.419000000,6,美第7舰队部分舰艇;韩海军作战司令部及部分舰艇。,25,美韩联合反潜演习,美韩年度例行性联合反潜演习。,美第7舰队和韩海军作战司令部共同组织。,检验美韩海军反潜部队战备水平，演练和完善两军联合反潜作战程序与战术，同时评估韩海军独立反潜作战能力。,韩周边海域。,又称“舰船反潜战备效能评估”演习。美军自1969年开始与盟国联合举行此类演习。韩海军从1994年开始与美举行该演习。,潜艇跟踪、反潜自由攻防、潜艇威胁下的海上机动等。
512155822263336960,2020/11/14 06:44:23.422000000,2020/11/14 06:44:23.439000000,6,"美第7航空队和韩空军作战司令部。2017年参演兵力包括美军约1000名人员、韩军约500名人员.美军F-16,AV-8B,EA-18G,韩军F-15K,F-16,F-5E。",10,美韩最大雷演习,美韩空军联合空战演习。,美第7航空队和韩空军作战司令部联合组织实施。,提升美韩空军部队战术技能及双方协同、应急作战能力。,韩国。,演习始于2008年，一般每年2次，从2015年开始改为年度演习。,空中打击、空中遮断、空中侦察、空运补给、防御性制空作战等。
512155822343028736,2020/11/14 06:44:23.441000000,2020/11/14 06:44:23.458000000,6,"美空军第7航空队和韩空军作战司令部组织，第607航空航天作战中心具体指挥。2017年，美空军第5航空队、第7航空队、海军、海军陆战队等约1.2万人以及包括F-22,F-35战机在内的230余架美韩军机参加。",10,美韩警惕王牌演习,美韩年度例行性空中作战演习。,驻韩美空军司令部和韩空军作战司令部。,演练空中作战战法，熟悉平战转换程序和作战流程，提升美韩空军战备水平和协同能力。,韩国周边海空域。,原为“贝弗利·斗牛犬”系列空中演习，2015年改为现名。,空中编队进攻、紧急空中遮断、对地(海)攻击、近距离空中支援、防御制空、反火力战、水面战斗巡逻等。
512155822426914816,2020/11/14 06:44:23.460000000,2020/11/14 06:44:23.476000000,6,美海、空军;日航空自卫队，澳、韩空军。2017年，美空军、海军、海军陆战队、日本航空自卫队、澳大利亚空军的22个单位、1700人和超过100架飞机参加此次演习。美军派遣多型战机参演，包括战斗机、轰炸机、加油机、指挥预警机和救援飞机.其中B-1B型机首次参演。美军参演比重增加.日澳则有所缩减。,30,美日对抗北演习,以美、日为主的年度联合空战演习。,美太总部空军司令部。,评估和检验参演国空军部队技战术和作战程序，提高参演国在太平洋地区的空中力量运用水平和协同能力。,最初在日北部举行，1999年后在关岛举行，近年在冲绳周边举行。,"演习始于1978年，最初为美日联演，2012年澳大利亚首次实兵参演，2014年韩国首次实兵参演，2015年菲律宾与新西兰首次参演，通常于2,3月份举行。",空战、电子战、对地攻击、对舰攻击、空中拦截、空中侦察、空中加油、战术空运、人道主义救援等。
512155822502412288,2020/11/14 06:44:23.479000000,2020/11/14 06:44:23.499000000,6,美第7舰队;日海上自卫队联合舰队。2017年，日军25艘舰艇、60余架飞机，美军里根号航母打击大队等10艘舰艇参演。,35,美日**G年度演习,美日海军年度综合演习。,日海上自卫队联合舰队司令部和美第7舰队司令部共同组织。,检验两国海军共同应对突发事件能力，提升协同指挥和联合作战水平。,日周边海域。,"演习始于1985年，以日本年号为代号，如2016年(平成28年)的演习代号为“平成28G""。",防空、反舰、反潜、反导、电子战、海上机动、海上补给等。
